Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Disaster preparedness for sustainable development in Bangladesh,"","Purpose Bangladesh is one of the most disaster\xe2\x80\x90prone countries in the world. Natural disasters adversely affect the country's economy and deter its development. Thus preparedness for the disasters, along with effective prevention and mitigation measures, is imperative for sustainable development of the country. The purpose of this paper is to examine the present state of disaster preparedness in the country with special attention to the more frequent and damaging disasters \xe2\x80\x93 flood and cyclone. Design/methodology/approach A detailed study of the effects of natural disasters, disaster prevention and mitigation measures, and institutional setting for disaster preparedness was undertaken. Findings Plans and programs have been formulated to manage natural disasters. In a \xe2\x80\x9cCyclone Preparedness Program\xe2\x80\x9d, trained volunteers facilitate emergency response and proper use of the multi\xe2\x80\x90purpose shelters. Within an institutional framework for disaster management, several Non\xe2\x80\x90Government Organizations (NGOs) work for disaster preparedness alongside the government organizations. Their formal and nonformal education programs on disaster preparedness have a common objective of promoting resilient and sustainable communities. Practical implications Planning and design of structural interventions for prevention and mitigation of natural disasters should be done more carefully to avoid adverse impacts on the environment. A participatory approach is essential in this process. Education and awareness\xe2\x80\x90building programs need wider and easier access to the people. Originality/value The paper concludes that the institutional arrangement for cyclone preparedness and response is unique and efficient, and that participation of NGOs in the preparedness program contributes significantly toward sustainable development. These lessons will be important for development planning in other sectors.",,07-11-2008,,,,,,,,#844,,"",""
Crisis communication and learning: the US higher education\xe2\x80\x99s response to a global pandemic,"","Purpose This study investigates the processes that the US universities and colleges used to learn during the COVID-19 pandemic and the factors that facilitated and impeded their learning processes. Design/methodology/approach To address this study\xe2\x80\x99s research questions, this study used a crisis communication and learning lens to interview crisis response team members from 30 US higher education institutions in May 2020 (the first pandemic semester). In October 2020 (the second pandemic semester), this study conducted follow-up interviews with 25 of the original interviewees. Overall, this study conducted 55 interviews. Findings Learning during the COVID-19 pandemic is facilitated by a recognition of a serious deficiency in the current system and impeded by the need to act quickly. The findings demonstrate the process by which decisions, actions and strategies emerged during crises. Originality/value This investigation illustrates how crises can prompt organizational learning while demonstrating the critical role of internal and external resources in the learning process.",,12-04-2022,,,,,,,,#845,,"",""
Disaster preparedness in humanitarian logistics: A collaborative approach for resource management in floods,"","The logistical deployment of resources to provide relief to disaster victims and the appropriate planning of these activities are critical to reduce the suffering caused. Disaster management attracts many organisations working alongside each other and sharing resources to cope with an emergency. Consequently, successful operations rely heavily on the collaboration of different organisations. Despite this, there is little research considering the appropriate management of resources from multiple organisations, and none optimising the number of actors required to avoid shortages or convergence. This research introduces a disaster preparedness system based on a combination of multi-objective optimisation and geographical information systems to aid multi-organisational decision-making. A cartographic model is used to avoid the selection of floodable facilities, informing a bi-objective optimisation model used to determine the location of emergency facilities, stock prepositioning, resource allocation and relief distribution, along with the number of actors required to perform these activities. The real conditions of the flood of 2013 in Acapulco, Mexico, provided evidence of the inability of any single organisation to cope with the situation independently. Moreover, data collected showed the unavailability of enough resources to manage a disaster of that magnitude at the time. The results highlighted that the number of government organisations deployed to handle the situation was excessive, leading to high cost without achieving the best possible level of satisfaction. The system proposed showed the potential to achieve better performance in terms of cost and level of service than the approach currently employed by the authorities.",,01-02-2018,,,,,,,,#846,,"",""
Classification Crisis Communication: Semiotic Approach with Latent Semantic Analysis,"","Previous crisis communication research has been based on qualitative methods such as interviews or questionnaires, which require considerable manpower, material resources, and time to focus on specific topics. The current situation needs to be reflected timelier. With the rise of social communities, community users\xe2\x80\x99 comments have gradually become an important reference for other community members. Twitter is one of the most popular social media in the world. During the COVID-19 pandemic, people were restricted by rules and government policies, such as wearing masks, maintaining social distancing, and avoiding crowding. This led people to spend time on devices. By using devices, most people are involved in social media activities. This study aims to discover the awareness Indonesians display in the text they upload to Twitter. Using the Twitter crawling technique, we collected data. We also analyzed the text with text mining techniques and latent semantic analysis (LSA) with semiotic methods. The crisis communication was classified, and the definition of crisis terminology was improved in social media.",,19-06-2023,,,,,,,,#853,,"",""
Improving Communication in Crisis Management by Evaluating the Relevance of Messages,"","Efficient communication is a major challenge for emergency responders during crisis management. Reports show that missing information and information overload are important factors that determine the success of crisis management. We propose a method as basis for a software system that improves text or voice\xe2\x80\x90based communication. Communication is split into segments and the system determines from the content of the communication, the tasks of actors and their locations for which responders in the crisis the information is relevant. The system is tested on data recorded at a fire fighting disaster management exercise and found to be accurate enough to be useful.",,07-04-2011,,,,,,,,#855,,"",""
Social Media and Situation Awareness during Terrorist Attacks: Recommendations for Crisis Communication,"","Abstract This chapter summarises the findings of a case study on social media activity during the 22 July 2011 terrorist attacks in Norway. Based on these findings and on theories and previous research on the role of social media in situation awareness (SA) configuration during crisis situations, the chapter offers seven recommendations for key communicators in official crisis management and response institutions, journalistic institutions, NGOs and others: (1) acknowledge social media as important and master monitoring and management of features across social media; (2) synchronise communication and establish a standard operating procedure (SOP); (3) establish and make known a joint social media emergency account; (4) participate, interact and take the lead; (5) be aware of non-hashtagged content; (6) implement verification tools and practices and (7) engage with and learn from celebrities. Keywords Crisis communication Crisis management Social media 22 July 2011 Situation awareness Twitter Citation Steensen, S., Frey, E., Hornmoen, H., Ottosen, R. and Konow-Lund, M.T. (2018), ""Social Media and Situation Awareness during Terrorist Attacks: Recommendations for Crisis Communication"", Hornmoen, H. and Backholm, K. (Ed.) Social Media Use in Crisis and Risk Communication, Emerald Publishing Limited, Bingley, pp. 277-295. https://doi.org/10.1108/978-1-78756-269-120181017 Publisher: Emerald Publishing Limited Copyright \xc2\xa9 Steen Steensen, Elsebeth Frey, Harald Hornmoen, Rune Ottosen and Maria Theresa Konow-Lund. Published by Emerald Publishing Limited License This article is published under the Creative Commons Attribution (CC BY 4.0) licence. Anyone may reproduce, distribute, translate and create derivative works of this article (for both commercial and non-commercial purposes), subject to full attribution to the original publication and authors. The full terms of this licence may be seen at http://creativecommons.org/licences/by/4.0/legalcode Introduction Terrorist attacks have become an unwanted but increasingly common type of crisis situation. Fifty-five per cent of all terrorist attacks with more than 50 casualties that have been carried out throughout the world during the last 100 years have occurred since 2007. 1 Countries such as Iraq, Pakistan, Afghanistan and Syria frequently have to deal with such massive acts of terror, while the attacks in Nice in 2016 (84 casualties), Paris in 2015 (137 casualties), Ankara in 2015 (102 casualties) and Oslo and Ut\xc3\xb8ya in 2011 (77 casualties) are examples of how such massive terrorist attacks have also become frequent in Europe. Massive terrorist attacks represent a type of crisis situation which is complex and chaotic, and in which it is extremely important to acquire as quickly as possible what Endsley (1995) has called situation awareness (SA). Efficient and accurate communication is the key to SA, and authorities such as the police, emergency personnel, fire departments, etc., need to have efficient communication with each other, with governmental officers and other public bodies, the media and the public, in order to establish SA for all parties. Adding to the complexity of such crisis situations and the challenges of communication they create is the fact that the past decade has seen the emergence of what Bruns (2014, p. 351) has called \xe2\x80\x98a new ecology of emergency media\xe2\x80\x99, in which social media play an ever more important role. The authorities have been slow to implement social media in their crisis communication strategies (Hornmoen et al., 2018; Perng et al., 2012). There is a need for more knowledge on what role social media can play during crisis situations such as severe terrorist attacks, so that the authorities and others (NGOs, journalists, those targeted, etc.) can become better equipped to acquire and share SA. This chapter presents some recommendations for the authorities and others on the uses and functions of social media during severe terrorist attacks, based on an analysis of social media activity during the 22 July 2011 attacks in Oslo and on Ut\xc3\xb8ya. 2 The chapter briefly presents the analysed data, the theoretical framework of SA as it relates to social media and crisis communication and the key findings of the case study, before concluding with the main recommendations for the authorities in particular on how to deal with social media in a crisis situation such as a severe terrorist attack. Situation Awareness and Social Media in Crisis Communication A key communicative challenge during a crisis event is to achieve adequate SA for all parties: those directly affected, official crisis management and response institutions, journalistic institutions, NGOs and other institutions and the public. Endsley (1995, p. 36) defines SA as \xe2\x80\x98the perception of the elements in the environment within a volume of time and space, the comprehension of their meaning, and the projection of their status in the near future\xe2\x80\x99. SA is, in other words, being aware of what is going on at a given time and in a given space; how to understand it, and how to act on that knowledge immediately and properly. Mundane and everyday activities such as walking and driving require constant SA, as do many other activities in a wide array of environments. However, it is in complex and changing situations \xe2\x80\x93 like a sudden crisis \xe2\x80\x93 that SA becomes difficult to acquire, according to Endsley (1995, p. 33). Achieving and maintaining SA is a process involving a lot of \xe2\x80\x98situational assessment\xe2\x80\x99 (Endsley, 1995, p. 36), and it is in this process of assessment that social media can play a crucial role in a crisis. Social media are potentially an \xe2\x80\x98awareness system\xe2\x80\x99 (Maireder & Ausserhofer, 2014) that can engage citizens in crowdsourcing information activities; they thereby take on importance in disseminating emergency alerts, in citizens\xe2\x80\x99 self-organisation of local responses to a crisis and, ultimately, in how a crisis situation is assessed. Social media do, however, make the acquisition of SA more complex, as the process becomes networked instead of individual and more improvisational (Mendon\xc3\xa7a, 2007). Perng et al. (2012, p. 9) argue that the theory of SA does not sufficiently take into account \xe2\x80\x98how awareness is developed and updated through distributed collaboration by those who are situated in very different socio-technological circumstances, and how this is a matter of \xe2\x80\x9cconfiguring awareness\xe2\x80\x9d\xe2\x80\x99. Viewing the acquisition of SA as a networked collaboration, in which awareness is configured through joint efforts, is important for fully understanding how crisis communication functions in social media. It is not enough for key communicators in official crisis management and response institutions to send out an official statement in a tweet, a Facebook update or similar. They need to understand how that message is disseminated within social networks, what is required for its proper dissemination, how people in different socio-technical contexts might receive and interpret the message and also expect feedback in the form of questions, worries and possible updates. All this requires participation and interaction on a completely different level than in other mass media channels of communication. Furthermore, awareness configuration is not something which is transferred from one person or institution to another in social media. It is a many-to-many process, in which official crisis management and response institutions, journalistic institutions and others are parts of a larger network to which they need to listen in order to acquire and maintain SA themselves. The Norwegian Twitter-sphere during the 22 July 2011 terrorist attack is a good example of how this many-to-many awareness configuration might work (see Chapter 1 in this volume). As analysed by Ottosen (2015) and in Chapter 3 in this volume, this process is difficult if crisis authorities do not participate in social media. Key communicators in official crisis management and response institutions, and to an extent, journalists too, are lagging behind in dealing with this networked, collaborative way of creating SA, according to Perng et al. (2012). Research has shown how members of the public might use social media to organise help and respond to a crisis (Perng et al., 2012; Starbird & Palen, 2011); such efforts might be important in the general assessment of a crisis situation. About the Case and the Data On Friday 22 July 2011 at 15.25 a massive car bomb exploded in the government quarter in the centre of Oslo. Eight people were killed in the blast, which left neighbouring quarters resembling a war zone. The national newspaper VG, the regional newspaper Dagsavisen and the commercial broadcaster TV 2, which all had offices close to the government quarter, had to evacuate their premises due to the bomb blast. The lone terrorist, Anders Behring Breivik \xe2\x80\x93 a 28-year-old right-wing extremist who wanted to attack the social democratic party, whom he regarded as traitors to Norway \xe2\x80\x93 then drove 38 km northwest of Oslo to the Tyrifjorden lake, where, dressed as a policeman, he arrived at the ferry landing Ut\xc3\xb8yakaia at 16.55. He was transported by local ferry to the small island of Ut\xc3\xb8ya, where the social democratic party\xe2\x80\x99s youth organisation (AUF) was holding its traditional, annual week-long summer camp. A total of 564 people were on the island when Breivik arrived at 17.18. For more than an hour, he searched the island for people to kill; he was able to kill 69 people, mostly adolescents, and severely injure 56 before being apprehended by the police at 18.34. Many youngsters fled the island by swimming away, while others hid as best they could (Dyb et al., 2014). At 19.30, the police confirmed that seven people had been killed by the bomb. At 21.30, the police reported 10 deaths on Ut\xc3\xb8ya. At 22.45, the minister of Justice, Knut Storberget, confirmed that the apprehended terrorist was ethnically Norwegian. At 03.17 on 23 July, the police stated that the number of causalities on Ut\xc3\xb8ya was far greater than previously presumed, and at 03.50, they reported that 80 people had been killed on Ut\xc3\xb8ya. The correct number of casualties was not announced until Monday 25 July. The 22 July commission, appointed by parliament to investigate how the Norwegian authorities handled the crisis, concluded that the damage done by the terrorist could have been considerably minimised, had the police and other authorities been better coordinated, and in possession of better communication routines (NOU, 2012; see also Chapter 4 in this volume). The commission also commented on the role of social media during the crisis: Never before have the members of government personally received information by text messages, telephone calls and social media directly from victims, at the same time as they were supposed to be dealing with a national crisis. (NOU, 2012, p. 454) Some of the youngsters trapped on Ut\xc3\xb8ya used Twitter and Facebook to communicate with each other and the outside world on what was happening on the island, and news about the terrible events broke on Twitter before any other medium. Social media were also pivotal in establishing the \xe2\x80\x98meet hate with love\xe2\x80\x99 discourse that dominated the Norwegian public sphere in the aftermath of the terrorist attacks (Kverndokk, 2013). For example, peaceful rose parades, organised in all the big cities in Norway on Monday 25 July 2011, were initiated as Facebook events by ordinary citizens. Although some research projects have previously examined aspects of social media activities during the 22 July attack (see, for instance, Eriksson, 2016; Kaufmann, 2015; Kverndokk, 2013; Perng et al., 2012), the RESCUE project is the first research project to carry out a comprehensive analysis of the uses, functions and activities of social media in the context of the attack. The data analysed in the RESCUE project on the 22 July 2011 case consist of: a collection of 2.2 million tweets acquired from Gnip, Twitter\xe2\x80\x99s enterprise API platform, representing the Norwegian Twitter-sphere from 20 July to 28 August 2011 (see Chapter 1 for a further presentation and discussion of this data); qualitative interviews with survivors from Ut\xc3\xb8ya and content from their Facebook accounts (see Frey, 2018 and Chapter 2 in this volume for a further presentation and discussion of this data); qualitative interviews with Norwegian information officers and key communicators in the relevant sectors, and with journalists (see Hornmoen et al., 2018 and Chapter 4 in this volume for a further discussion and presentation of this data); qualitative interviews with journalists who worked on 22 July 2011 (see Konow-Lund & Olsson, 2017 and Chapter 7 for a further presentation and discussion of this data); and content from Norwegian online and print newspapers on 22 and 23 July 2011 (see Ottosen & Bull, 2016; Steensen & Eide, forthcoming 2018, for a further presentation and discussion of this data). Key Findings The findings of the case study of social media activity during and after the 22 July terrorist attacks in Norway are fully presented and discussed in various journal articles, book chapters, and in the chapters of this volume. These publications will be referred to in the following summary of key findings, divided into three sections: (1) findings from the analysis of the Norwegian Twitter-sphere and newspaper content; (2) findings from interviews with survivors from Ut\xc3\xb8ya and (3) findings from interviews with journalists, information officers and other key communicators. Findings from the Analysis of the Norwegian Twitter-sphere The terrorist attacks prompted a 200 per cent increase in Twitter activity in Norway on 22 July 2011; the Norwegian Twitter-sphere was dominated by the event. Hashtags were used to structure and make sense of the otherwise chaotic communication, and the 10 most used hashtags during 22 and 23 July were all related to the attacks, accounting for 60 per cent of all hashtag use over those two days. The most popular hashtags were #prayfornorway, #Ut\xc3\xb8ya and #Oslo, while the hashtag #osloexpl was the most used during the critical hours on 22 July (see Chapter 1 for a further presentation and discussion of these findings). Although hashtags were used more during the critical hours of 22 July (15.25\xe2\x80\x9321.00) than during the following days, less than half the tweets posted in these hours contained hashtags. Furthermore, many of the hashtags used early on were misleading and it took more than 30 minutes after the bomb blast before the Twitter-sphere had established a hashtag (#osloexpl) that made it possible to monitor Twitter appropriately for updates about the crisis situation (see Chapter 1). Given the delay in identifying the perpetrator, the Twitter-sphere was vulnerable to rumour and speculation. In the early phase, rumours about a possible al-Qaida attack circulated in the Norwegian Twitter-sphere, and a large number of tweets blamed radical Muslims. This was, to a certain extent, accompanied by hostility to immigrants and Muslims in general, though this tendency was also criticised by others, warning about a blame game before the facts were on the table (Ottosen, 2015). The Norwegian Twitter-sphere was not dominated by just a few key communicators. The top 10 most active tweeters during the attack only accounted for 4 per cent of all Twitter activity in Norway during the same period; none of the most active tweeters were previously established as public figures. The most active tweeter was a young film critic and journalist, and the Norwegian Twitter-community was dominated by young girls seeking the attention of international pop idols such as Justin Bieber, whose Twitter account was by far the most mentioned both during and after the attacks. Tweets containing the hashtag #prayfornorway and referring to @justinbieber constituted the most common combination of hashtag and reference in the Norwegian Twitter-sphere during and after the attacks (see Chapter 1). As to where the information posted on Twitter came from, Steensen and Eide (forthcoming 2018) found that 14 per cent of all tweets posted between 15.25 on 22 July and 11.00 on 23 July contained hyperlinks, and that more than one-third of these tweets linked to national or international news media. Contents from traditional news media were much more important as sources on Twitter than social media were important as sources for traditional news media. The Norwegian authorities and public bodies were not particularly visible on Twitter during and after the attacks. Of the 8,290 different Norwegian Twitter accounts posting at least one tweet between 15.25 and 21.00 on 22 July, only nine came from public bodies. These nine accounts posted in total 22 tweets during the critical hours; the official account of Oslo Airport was the most active with eight tweets containing updates on how the terrorist attack was affecting traffic to and from the airport. The operating police departments, the Norwegian Security Police (PST), the fire departments or other public emergency offices were absent from Twitter, even though they were mentioned several times by other Twitter users who wanted them to communicate on the social medium. There is, however, one notable exception to this lack of communication on Twitter from public bodies: Oslo University Hospital used Twitter successfully to attract and coordinate blood donors (see Chapters 3 and 4). Findings from Interviews with Survivors from Ut\xc3\xb8ya As part of the case study, eight survivors from Ut\xc3\xb8ya were interviewed in-depth about their social media use and experience prior to, during and after the terrorist attack. All of them were users of social media. Three of them actively used social media during the attack, while some did not even consider using their phones because they were too preoccupied with simply surviving (all findings reported here and later are presented and discussed in Frey, 2018). Facebook was their preferred social medium for contacting their near and dear ones, and for giving and receiving information, especially after the perpetrator had been apprehended by the police. One of the interviewees had a large follower base on Twitter and tweeted information on what was going on during the attack. This interviewee found Twitter more efficient than contacting the police, which she/he also did, but without the sense that they were taking him/her seriously. Another of the interviewees used Facebook to update his/her network about the shootings, and understood from comments that those outside the island were not aware of the extent of the shooting. The active social media users all muted their phones and checked Twitter, Facebook and online news media for updates as a way of acquiring SA. One learned via social media that the shooter was dressed as a policeman, which was important information. Another was told there was only one terrorist, whom she/he later learned had been captured by the police. However, all interviewees told how young people on the island experienced many practical obstacles: their mobile phones were running low on battery power, or they lost their phones when fleeing or swimming. Some were afraid that the terrorist(s) was monitoring social media. Nevertheless, young people on Ut\xc3\xb8ya used Facebook and Twitter to tell outsiders not to call them, afraid that the sound and light of mobile phones ringing could attract the terrorist\xe2\x80\x99s attention. Furthermore, all the interviewees remarked on the difficulty of ascertaining whether something on social media is a rumour or misinformation, when under attack, although one interviewee pointed out that it is possible to verify Twitter accounts. Once rescued, all the interviewees used Facebook to contact friends and family to let them know they were safe. A few also tweeted. In the event of being caught up in another crisis situation, six of the eight would use social media, probably Facebook and Snapchat, or a new, as yet unknown social medium. They stressed that people under attack would benefit from having genuine two-way communication with crisis authorities on social media. Findings from Interviews with Journalists, Information Officers and Other Key Communicators As part of the RESCUE-project, we interviewed key communicators in crisis management organisations (NGOs and public agencies), first responder organisations (fire brigade, police and emergency units), the PST and journalistic institutions. Some of these findings are reported in Hornmoen et al. (2018) and reveal that the key communicators generally see great potential in using social media to create SA and improve management of risks and crises. However, they point to several deficiencies in current uses of social media in emergencies. Interviewees in both crisis management organisations and journalistic institutions point to lack of personnel, problems with organisational routines and coordination and insufficient training. The three groups of communicators differ slightly in their views on what the benefits and challenges of using social media in crises are. Crisis communication managers tend to view dialogical communication as a way of correcting public misconceptions during crisis situations. The first responder communicators largely see postings from social media users as containing potentially vital information, enabling them to act swiftly and effectively in acute situations. The journalist group also sees the potential value of communicating information in their news stories that originates from social media users present at crisis scenes. However, a challenge with social media pointed out by all informants was how to monitor efficiently, and verify, user-generated content during a crisis. Key police and health communicators in government agencies in Norway were also interviewed (see Chapter 4 in this volume) about their use \xe2\x80\x93 or lack of use \xe2\x80\x93 of social media during and after the 22 July attacks. The police interviewees stressed how their unpreparedness in social media use in 2011 alerted them to the urgent need to include social media in their emergency communication. Routines they later established show their recognition of the importance of engaging with social media in daily communication in order to strengthen their public presence and thereby be prepared for effective use of social media in crises. Although police interviewees stress that social media can contribute to saving lives and resolving crises, they do not believe that social media communication would have had any impact on the emergency operations on the island of Ut\xc3\xb8ya. In comparison with the police interviewees, the health communicators we interviewed actually used social media \xe2\x80\x93 particularly Twitter, when the crisis unfolded. However, those health interviewees with different roles and functions in crisis management stressed the need for a better coordination between different actors and agencies in their own sector, and \xe2\x80\x93 equally importantly \xe2\x80\x93 between the different sectors\xe2\x80\x99 emergency services. It is vital that the different emergency services coordinate and strengthen their plans for using social media in crises in order to prevent escalating a crisis through social media use. Konow-Lund and Olsson (2017) interviewed 17 Norwegian journalists a couple of months after the terrorist attacks in 2011 and found that they predominantly used social media as sources of information in line with any other source of information during the crisis. However, as the response to the event moved into a phase of grief and collective sadness, journalists became open to increased audience participation and the potential incorporation of social media use into their coverage. Konow-Lund and Olsson conclude that the journalists were driven by how the public used social media, and that they quickly adapted their professional practice rather than sticking rigidly to their own norms and routines. Recommendations Based on the case study findings presented earlier, we can conclude that: Twitter was an important medium in acquiring SA for at least some of the victims, for the public, and potentially also for the police, other emergency institutions, governmental bodies and public offices during the attacks on 22 July 2011; Key governmental bodies and public offices did not use social media as important sources of information and channels of communication during the attacks. This obstructed proper situation assessment for members of the public and for the authorities themselves, for instance, by allowing rumours and speculation about the identity of the terrorist to flourish and A lack of resources, and social media routines and strategies made it difficult for key communicators in official crisis management and response institutions, to a certain degree also in journalistic institutions, to use the potential of social media as crisis communication tools. In 2011, Facebook and Twitter were the two dominant social media in Norway and elsewhere. Since then, the breadth of social media has increased, and it is today difficult to foresee what social medium will be the most important, or if various groups within the public will turn to different kinds of social media, during future crisis situations. It is, therefore, important for key communicators to understand and master social media monitoring tools and cross-social media features such as hashtags. Furthermore, such tools and features need to be embedded in the routines of everyday professional practice, otherwise they run the risk of being forgotten and seen as conflicting with already established communication routines. Our first recommendation is therefore: Recommendation 1: Acknowledge social media as important and master monitoring and management of features across social media Key communicators and crisis communication institutions should acknowledge that social media are important channels of information dissemination and communication in crisis situations; they should implement social media monitoring tools in their daily communication routines and learn to understand and master cross-social media features like hashtags. As our case study shows, hashtags were an important feature in structuring communication on Twitter during the terrorist attacks. However, it took time for a relevant and much-used hashtag to be established, and the majority of tweets about the attack did not contain hashtags. Eye-witnesses and victims who post important information are not likely to be skilled communicators and therefore might not consider using hashtags. Furthermore, during the first crucial and chaotic minutes after the bomb blast in Oslo, several misleading hashtags were in use. This delay in agreeing on a common hashtag and the lack of hashtag use on Twitter during the attacks might have something to do with the absence of strong communicative leadership in the micro-blogging service and the absence of the authorities and well-known journalists among the top communicators. Even though the Norwegian Twitter-sphere was thematically dominated by the terrorist attacks during 22 and 23 July, it was not dominated by a few, important communicators. The most active tweeters were unexpected actors like a young film critic/journalist, a local politician and several young girls. The victims on Ut\xc3\xb8ya did not know which accounts to follow and who they should direct their social media emergency alerts to. There is, therefore, a need for key communicators in crisis management and response institutions to synchronise their communication and to establish common social media accounts. The authorities in Kenya managed successfully to do exactly that during the Westgate Mall terrorist attack in 2013; they established a standard operating procedure (SOP) to synchronise communication and used WhatsApp for that purpose (Simon, Goldberg, Aharonson-Daniel, Leykin, & Adini, 2014). This leads us to the following four recommendations: Recommendation 2: Synchronise communication and establish a standard operating procedure Official crisis management and response institutions should establish a clear standard operating procedure (SOP) on who communicates what, where and with whom during a crisis, and how communication to and from the various institutions should be synchronised. Recommendation 3: Establish and make known a joint social media emergency account Authorities involved in crisis management and response should have a joint social media emergency account which is well known to the public, similar to emergency numbers like 911 in the US and 112 across the EU countries. Recommendation 4: Participate, interact and take the lead This joint emergency social media account should be active in everyday communication routines, thereby securing a large base of followers; this will enable the account to become a key communicator during crisis situations. Being a key communicator in social media means participation and interaction, and it involves (1) active and rapid communication in all relevant social media; (2) a dialogical approach (involving, for instance, retweets and replies, addressing rumours and false information) towards the audience and (3) taking the lead as quickly as possible in establishing relevant hashtags for all social media communication about the unfolding crisis. Recommendation 5: Be aware of non-hashtagged content Authorities, journalists and other potential key communicators should not base all monitoring of social media content during a crisis on hashtag-based searches only, especially not in the critical minutes after a crisis has occurred. A problem with social media communication during emergencies for all parties involved \xe2\x80\x93 victims, the public, the authorities, NGOs, etc. \xe2\x80\x93 is how to know what information to trust. In our case study, the youngsters at Ut\xc3\xb8ya addressed t",,01-10-2018,,,,,,,,#856,,"",""
Firm-stakeholder Engagement under Crisis: Communication of Firms\xe2\x80\x99 Social Activities and Emotions,"",nan,,01-08-2023,,,,,,,,#859,,"",""
Communication During Crisis Using Social Media Networks in Oil Companies in Croatia: An Empirical Research,"","A crisis is a malfunction in a normal process that has negative or neutral implications in both the private and corporate worlds. Many variables, which are often divided into external and internal factors, may lead to a crisis inside an organization.",,05-09-2023,,,,,,,,#863,,"",""
Crisis Communication on Twitter: A Social Network Analysis of Christchurch Terrorist Attack in 2019,"","Christchurch terrorist attack is a recent tragedy that happened in New Zealand on 15 March 2019. There are total 50 deaths caused by the attack in Christchurch. In two days, at least, 722,295 tweets are created by users of Twitter, they tweet about their thoughts and prayers about the attack. That means that social media is very important to spread information throughout the world while in a crisis condition, which also able to provide and facilitate how the information flow. To understand the issue, this paper examines the use of Twitter during post-tragedy, which is 2 days after the tragedy happened in New Zealand. The network structures within the conversation about Christchurch attack must be concerned, because many communities and actors play a part in the flow of information about the attack on Twitter. Our findings show an individual might have more information-spreading power than authority or government institutions. The influence of non-authority actors in Twitter network highlights an apparent reality that an individual might be spread information wider than authority without knowing the righteousness.",,01-11-2019,,,,,,,,#864,,"",""
Digital Communication in Sport Sector: A Brief Analysis of the Pandemic Crisis Period,"","The COVID-19 pandemic changed the general behaviour of the society regarding leisure and entrainment in social media. The pandemic had huge impact in the world of marketing and communications. Sta9rting from the social distance to the lockdown period, the society converted their actions to access and consume content from the different social media channels. Some marketing practitioners argue that making money is critical right now whereas others strongly believe the opposite. The strength of digital and social media communication in times of crisis has been proven in the past and it has been proven during this pandemic as well. During this pandemic we have witnessed similar communication practices that are adapted by the global companies. It became evident that brands must make tough choices affecting customers and develop the right message through right channel while ensuring the honesty and trust in their campaigns. With the uncertainty of next quarter or even next months, brands have had to adjust their marketing budget drastically. Whatever they have planned in the beginning of 2020 was no longer applicable and it leads to quick and sweet adoption of new realities in their communication strategies. Being transparent, supporting local communities and overall focusing on brand awareness rather than product push have been the common practices amongst brands. In addition to successful communication practices, we have also witnessed common pitfalls such as brands communicating the same message without giving any solutions to their customers when it comes to products or services adoption. This research aim to analyze the digital communication strategies adopted in crisis during pandemic period.",,14-09-2023,,,,,,,,#866,,"",""
First Responders and Crisis Map Symbols: Clarifying Communication,"","During the initial hours of a disaster, first responders enter chaotic, devastated areas to assess the situation and to report information on multiple events back to their command stations. After the tragedies of 9/11 in New York City, the Federal Geographic Data Committee Homeland Security Working Group (FGDC HSWG) proposed universal map symbols for use by all levels of emergency personnel. For map use in a crisis situation, map elements have to be easily understood and interpreted. Therefore, universal symbol sets, especially those that are meant to assist first responders in rescue efforts, should be evaluated using rigorous testing methods. This study explored how human factors research and testing methods can be used by cartographers to improve the design and comprehension of pictorial map symbols. Using the American National Standards Institute's (ANSI) recommended open-ended testing method, this study examined the comprehension of the FGDC HSWG Emergency and Hazard Management Mapping Standards point symbology. Open-ended testing was conducted with 50 firefighters in California using 15 symbols from the Incidents category and 13 symbols from the Operations category. The results of this research show that 22 of the 28 symbols tested did not achieve the 85 percent comprehension level necessary to meet the standard.",,01-01-2009,,,,,,,,#867,,"",""
Fuming Mad and Jumping with Joy: Emotional Responses to Uncivil and Post-Truth Communication by Populist and Non-Populist Politicians on Facebook During the COVID-19 Crisis,"","Social networking sites offer politicians an opportunity to mobilize followers through carefully crafted messages appealing to their emotions. We examine the effects of uncivil and post-truth communication of populist and non-populist party leaders on the emotional emoji reactions of social media users during the COVID-19 pandemic crisis. Conveying a disrespectful tone toward the participants and topics of the debate, lying accusations, and incivility have become prominent aspects of contemporary political discourse in many European countries. We combine research on emotional cues in online political communication and the effects of political elites\xe2\x80\x99 messages on social media. We apply manual content analysis (N = 2,549 posts) to study the political communication of Czech political party leaders on Facebook during the COVID-19 pandemic (March 2020 to February 2021), which generated a higher sense of threat and uncertainty in the public. We show that uncivil and post-truth message elements, affiliation with a populist party, and pandemic influenced the volume of emotional interactions with political posts. The article has important implications for the study of how incivility and attacks on truthfulness can influence opinion exchange in public debate or increase societal polarization.",,21-09-2023,,,,,,,,#868,,"",""
